candidate_id,candidate_name,source_group,C1_solar_resource,C2_water_reliability,C3_stable_water_ratio,C4_terrain_slope,C5_protected_area_conflict,C6_power_infrastructure_proximity,context_large_power_infrastructure,equal_weight_preview_not_final,mcda_input_status,true_grid_distance_status,notes
IDN_HYLAK_001594,Danau Poso,HydroLAKES expansion,0.747814,1.0,0.984087,0.901549,0.949759,0.933098,0.952151,0.919385,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_015970,Unnamed HydroLAKES 15970,HydroLAKES expansion,0.757541,0.888682,0.967192,0.825942,0.999642,0.968902,0.910061,0.901317,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_000160,Toba,HydroLAKES expansion,0.725788,0.945128,0.965638,0.797965,1.0,0.969912,0.978481,0.900738,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_001589,Danau Singkarak,HydroLAKES expansion,0.731108,0.874873,0.965285,0.826877,1.0,0.996429,0.997446,0.899095,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_015927,Unnamed HydroLAKES 15927,HydroLAKES expansion,0.904471,0.781735,0.817055,0.859771,1.0,0.997965,0.730481,0.8935,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_001609,Danau Ranau,HydroLAKES expansion,0.80337,0.871137,0.957848,0.789457,0.96787,0.946521,0.961752,0.889367,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_015994,Unnamed HydroLAKES 15994,HydroLAKES expansion,0.736795,0.856907,0.964569,0.889868,0.992831,0.889463,0.920943,0.888406,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_015948,Danau Manindjau,HydroLAKES expansion,0.782529,0.877866,0.956171,0.70369,1.0,1.0,1.0,0.886709,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_016100,Unnamed HydroLAKES 16100,HydroLAKES expansion,0.894637,0.900853,0.903553,0.527549,0.999768,0.978284,0.976663,0.867441,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_016122,Unnamed HydroLAKES 16122,HydroLAKES expansion,0.381599,0.940045,0.954993,0.872956,1.0,0.97165,0.677327,0.85354,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_015914,Danau Tawar,HydroLAKES expansion,0.767646,0.857869,0.955058,0.584773,1.0,0.938508,0.95602,0.850642,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_016008,Unnamed HydroLAKES 16008,HydroLAKES expansion,0.792905,0.928906,0.941158,0.674927,1.0,0.688476,0.736991,0.837729,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_016003,Unnamed HydroLAKES 16003,HydroLAKES expansion,0.809031,0.581822,0.685756,0.914618,1.0,0.949531,0.813778,0.82346,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_016024,Unnamed HydroLAKES 16024,HydroLAKES expansion,0.856794,0.459551,0.658543,0.978215,1.0,0.985581,0.982328,0.823114,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_015966,Unnamed HydroLAKES 15966,HydroLAKES expansion,0.726588,0.716947,0.888908,0.724972,0.838354,0.975527,0.982496,0.811883,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_015964,Unnamed HydroLAKES 15964,HydroLAKES expansion,0.72134,0.721374,0.918703,0.46991,1.0,0.978474,0.984605,0.801633,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_GRAND_05811,Kedung Ombo,GRanD backbone via HydroLAKES geometry,0.849252,0.166459,1.0,0.804653,1.0,0.983311,0.976088,0.800613,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_GRAND_05807,Jatiluhur,GRanD backbone via HydroLAKES geometry,0.828378,0.245131,1.0,0.729789,1.0,0.999503,0.999645,0.800467,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_016103,Unnamed HydroLAKES 16103,HydroLAKES expansion,1.0,0.919796,0.907518,0.0,0.991526,0.976372,0.938218,0.799202,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_016060,Unnamed HydroLAKES 16060,HydroLAKES expansion,0.687888,0.516962,0.485671,0.986792,1.0,0.997972,0.998549,0.779214,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_015972,Unnamed HydroLAKES 15972,HydroLAKES expansion,0.794502,0.888298,0.936788,0.523761,1.0,0.491879,0.342887,0.772538,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_016058,Unnamed HydroLAKES 16058,HydroLAKES expansion,0.426424,0.63177,0.600619,0.970057,1.0,0.990285,0.993052,0.769859,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
