candidate_id,candidate_name,source_group,country,hylak_id,grand_id,source_area_km2,nearest_power_plant_distance_km,nearest_power_plant_distance_class,nearest_power_plant_name,nearest_power_plant_capacity_mw,nearest_power_plant_fuel1,nearest_power_plant_source,power_infrastructure_score_0_1_cost,nearest_large_power_plant_distance_km,nearest_large_power_plant_distance_class,nearest_large_power_plant_name,nearest_large_power_plant_capacity_mw,nearest_large_power_plant_fuel1,large_power_infrastructure_score_0_1_context,true_grid_distance_status,infrastructure_proxy_status,notes
IDN_HYLAK_015948,Danau Manindjau,HydroLAKES expansion,Indonesia,15948,0,86.94,5.747,Near <=25 km,Maninjau III,123.0,Hydro,Indonesia Power Generation,1.0,5.747,Near large plant <=50 km,Maninjau III,123.0,Hydro,1.0,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,POWER_PLANT_PROXIMITY_PROXY_NOT_TRANSMISSION_GRID,Power plant proximity proxy only; not final PLN transmission/substation distance.
IDN_GRAND_05807,Jatiluhur,GRanD backbone via HydroLAKES geometry,Indonesia,16052,5807,48.912,6.493,Near <=25 km,Jatiluhur,186.0,Hydro,Indonesia Power Generation,0.999503,6.493,Near large plant <=50 km,Jatiluhur,186.0,Hydro,0.999645,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,POWER_PLANT_PROXIMITY_PROXY_NOT_TRANSMISSION_GRID,Power plant proximity proxy only; not final PLN transmission/substation distance.
IDN_HYLAK_015931,Unnamed HydroLAKES 15931,HydroLAKES expansion,Indonesia,15931,0,17.96,6.654,Near <=25 km,PLTU Tanjung Kasam,110.0,Coal,Indonesia Power Generation,0.999396,6.654,Near large plant <=50 km,PLTU Tanjung Kasam,110.0,Coal,0.999568,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,POWER_PLANT_PROXIMITY_PROXY_NOT_TRANSMISSION_GRID,Power plant proximity proxy only; not final PLN transmission/substation distance.
IDN_HYLAK_016063,Unnamed HydroLAKES 16063,HydroLAKES expansion,Indonesia,16063,0,22.57,8.788,Near <=25 km,Timo / Mrica,12.0,Hydro,Indonesia Power Generation,0.997976,11.363,Near large plant <=50 km,PLTU Tambak Lorok,300.0,Coal,0.997327,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,POWER_PLANT_PROXIMITY_PROXY_NOT_TRANSMISSION_GRID,Power plant proximity proxy only; not final PLN transmission/substation distance.
IDN_HYLAK_016060,Unnamed HydroLAKES 16060,HydroLAKES expansion,Indonesia,16060,0,18.12,8.795,Near <=25 km,PLTGU Tambak Lorok,1034.0,Gas,Indonesia Power Generation,0.997972,8.795,Near large plant <=50 km,PLTGU Tambak Lorok,1034.0,Gas,0.998549,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,POWER_PLANT_PROXIMITY_PROXY_NOT_TRANSMISSION_GRID,Power plant proximity proxy only; not final PLN transmission/substation distance.
IDN_HYLAK_015927,Unnamed HydroLAKES 15927,HydroLAKES expansion,Indonesia,15927,0,44.56,8.805,Near <=25 km,Lahendong IV,80.0,Geothermal,Indonesia Power Generation,0.997965,571.971,Very distant large plant >200 km,PLTU Kaur,200.0,Coal,0.730481,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,POWER_PLANT_PROXIMITY_PROXY_NOT_TRANSMISSION_GRID,Power plant proximity proxy only; not final PLN transmission/substation distance.
IDN_HYLAK_001589,Danau Singkarak,HydroLAKES expansion,Indonesia,1589,0,108.05,11.112,Near <=25 km,Singkarak,175.0,Hydro,Indonesia Power Generation,0.996429,11.112,Near large plant <=50 km,Singkarak,175.0,Hydro,0.997446,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,POWER_PLANT_PROXIMITY_PROXY_NOT_TRANSMISSION_GRID,Power plant proximity proxy only; not final PLN transmission/substation distance.
IDN_HYLAK_016044,Unnamed HydroLAKES 16044,HydroLAKES expansion,Indonesia,16044,0,11.19,13.138,Near <=25 km,PLTG Muara Tawar B-3,420.0,Gas,Indonesia Power Generation,0.995081,13.138,Near large plant <=50 km,PLTG Muara Tawar B-3,420.0,Gas,0.996482,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,POWER_PLANT_PROXIMITY_PROXY_NOT_TRANSMISSION_GRID,Power plant proximity proxy only; not final PLN transmission/substation distance.
IDN_HYLAK_016045,Unnamed HydroLAKES 16045,HydroLAKES expansion,Indonesia,16045,0,20.0,16.236,Near <=25 km,PLTG Muara Tawar B-3,420.0,Gas,Indonesia Power Generation,0.993019,16.236,Near large plant <=50 km,PLTG Muara Tawar B-3,420.0,Gas,0.995007,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,POWER_PLANT_PROXIMITY_PROXY_NOT_TRANSMISSION_GRID,Power plant proximity proxy only; not final PLN transmission/substation distance.
IDN_HYLAK_016058,Unnamed HydroLAKES 16058,HydroLAKES expansion,Indonesia,16058,0,11.26,20.344,Near <=25 km,PLTU Cirebon,660.0,Coal,Indonesia Power Generation,0.990285,20.344,Near large plant <=50 km,PLTU Cirebon,660.0,Coal,0.993052,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,POWER_PLANT_PROXIMITY_PROXY_NOT_TRANSMISSION_GRID,Power plant proximity proxy only; not final PLN transmission/substation distance.
