consensus_rank,candidate_id,candidate_name,source_group,equal_simple_score,equal_simple_rank,topsis_equal_score,topsis_equal_rank,topsis_entropy_score,topsis_entropy_rank,topsis_critic_score,topsis_critic_rank,mean_rank,rank_sd,best_rank,worst_rank,rank_range,mean_score
1,IDN_HYLAK_001594,Danau Poso,HydroLAKES expansion,0.919384,1.0,0.876675,1.0,0.915681,1.0,0.90172,1.0,1.0,0.0,1.0,1.0,0.0,0.903365
2,IDN_HYLAK_015970,Unnamed HydroLAKES 15970,HydroLAKES expansion,0.901317,2.0,0.858498,2.0,0.888731,3.0,0.877551,2.0,2.25,0.433,2.0,3.0,1.0,0.881525
3,IDN_HYLAK_000160,Toba,HydroLAKES expansion,0.900738,3.0,0.848713,7.0,0.896136,2.0,0.872112,3.0,3.75,1.92,2.0,7.0,5.0,0.879425
4,IDN_HYLAK_001609,Danau Ranau,HydroLAKES expansion,0.889367,6.0,0.856084,3.0,0.881058,4.0,0.868076,5.0,4.5,1.118,3.0,6.0,3.0,0.873646
5,IDN_HYLAK_001589,Danau Singkarak,HydroLAKES expansion,0.899095,4.0,0.849581,6.0,0.880728,5.0,0.871884,4.0,4.75,0.829,4.0,6.0,2.0,0.875322
6,IDN_HYLAK_015994,Unnamed HydroLAKES 15994,HydroLAKES expansion,0.888405,7.0,0.84962,5.0,0.865014,7.0,0.865926,6.0,6.25,0.829,5.0,7.0,2.0,0.867241
7,IDN_HYLAK_015927,Unnamed HydroLAKES 15927,HydroLAKES expansion,0.893499,5.0,0.853654,4.0,0.835837,10.0,0.855971,7.0,6.5,2.291,4.0,10.0,6.0,0.85974
8,IDN_HYLAK_015948,Danau Manindjau,HydroLAKES expansion,0.886709,8.0,0.831214,8.0,0.873142,6.0,0.844745,8.0,7.5,0.866,6.0,8.0,2.0,0.858953
9,IDN_HYLAK_016100,Unnamed HydroLAKES 16100,HydroLAKES expansion,0.867441,9.0,0.789041,9.0,0.851557,8.0,0.792994,12.0,9.5,1.5,8.0,12.0,4.0,0.825258
10,IDN_HYLAK_015914,Danau Tawar,HydroLAKES expansion,0.850642,11.0,0.784767,10.0,0.840039,9.0,0.795752,11.0,10.25,0.829,9.0,11.0,2.0,0.8178
11,IDN_HYLAK_016122,Unnamed HydroLAKES 16122,HydroLAKES expansion,0.85354,10.0,0.746979,14.0,0.825028,11.0,0.806039,9.0,11.0,1.871,9.0,14.0,5.0,0.807897
12,IDN_HYLAK_016008,Unnamed HydroLAKES 16008,HydroLAKES expansion,0.837729,12.0,0.779906,11.0,0.805348,12.0,0.768981,13.0,12.0,0.707,11.0,13.0,2.0,0.797991
13,IDN_HYLAK_015966,Unnamed HydroLAKES 15966,HydroLAKES expansion,0.811883,15.0,0.775075,12.0,0.79188,13.0,0.798874,10.0,12.5,1.803,10.0,15.0,5.0,0.794428
14,IDN_HYLAK_016003,Unnamed HydroLAKES 16003,HydroLAKES expansion,0.82346,13.0,0.758064,13.0,0.709488,17.0,0.762163,14.0,14.25,1.639,13.0,17.0,4.0,0.763294
15,IDN_HYLAK_015964,Unnamed HydroLAKES 15964,HydroLAKES expansion,0.801633,16.0,0.721655,16.0,0.768778,14.0,0.734726,15.0,15.25,0.829,14.0,16.0,2.0,0.756698
16,IDN_HYLAK_016024,Unnamed HydroLAKES 16024,HydroLAKES expansion,0.823114,14.0,0.733796,15.0,0.662928,20.0,0.733474,16.0,16.25,2.278,14.0,20.0,6.0,0.738328
17,IDN_HYLAK_015972,Unnamed HydroLAKES 15972,HydroLAKES expansion,0.772538,21.0,0.690441,17.0,0.712665,16.0,0.662702,22.0,19.0,2.55,16.0,22.0,6.0,0.709586
