mc_consensus_rank,candidate_id,candidate_name,source_group,mc_mean_score,mc_mean_rank,mc_sd_rank,rank_p10,rank_p50,rank_p90,p_rank_1,p_top_3,p_top_5,p_top_10,p_bottom_10,robust_class
1,IDN_HYLAK_001594,Danau Poso,HydroLAKES expansion,0.90013,1.349,0.986846,1.0,1.0,2.0,0.842,0.948667,0.983333,1.0,0.0,Robust top-5
2,IDN_HYLAK_015970,Unnamed HydroLAKES 15970,HydroLAKES expansion,0.876311,3.094667,1.000852,2.0,3.0,4.0,0.005,0.761,0.965,1.0,0.0,Robust top-5
3,IDN_HYLAK_000160,Toba,HydroLAKES expansion,0.874113,4.178,2.056611,2.0,4.0,7.0,0.005,0.444667,0.708333,0.998333,0.0,Robust top-5
4,IDN_HYLAK_001609,Danau Ranau,HydroLAKES expansion,0.869982,4.559,1.662484,2.0,5.0,7.0,0.020333,0.283333,0.678,0.999333,0.0,Robust top-10
5,IDN_HYLAK_001589,Danau Singkarak,HydroLAKES expansion,0.868937,5.073,1.426068,4.0,5.0,7.0,0.002667,0.072667,0.701667,0.997,0.0,Robust top-5
6,IDN_HYLAK_015994,Unnamed HydroLAKES 15994,HydroLAKES expansion,0.86099,6.392,2.317974,3.0,7.0,9.0,0.0,0.150667,0.300333,0.969333,0.0,Robust top-10
7,IDN_HYLAK_015948,Danau Manindjau,HydroLAKES expansion,0.852236,6.971667,1.640588,5.0,7.0,9.0,0.000667,0.010667,0.173,0.985333,0.0,Robust top-10
8,IDN_HYLAK_015927,Unnamed HydroLAKES 15927,HydroLAKES expansion,0.849739,7.092667,3.317943,2.0,8.0,11.0,0.09,0.193667,0.272,0.849667,0.0,Robust top-10
9,IDN_HYLAK_016100,Unnamed HydroLAKES 16100,HydroLAKES expansion,0.818006,10.039333,4.45314,5.0,10.0,15.0,0.033333,0.082,0.113333,0.61,0.001333,Moderately stable
10,IDN_HYLAK_015914,Danau Tawar,HydroLAKES expansion,0.810869,11.060667,2.503262,9.0,10.0,13.0,0.0,0.0,0.0,0.508,0.0,Moderately stable
